mass [kg],stringer type,skin thickness [mm],stringer thickness [mm],stringer cross-section area [mm2],frame cross-section area [mm2],stringer pitch [mm],frame pitch [mm],stringer/frame material,skin material,stress margin [%]
17.455208154577825,z,0.3,0.9000000000000001,10.0,20.0,280.0,749.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,z,0.3,0.9000000000000001,10.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,z,0.3,0.9000000000000001,10.0,20.0,280.0,700.0,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,j,0.3,0.9000000000000001,10.0,20.0,280.0,700.0,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,formed z,0.3,0.8,10.0,20.0,280.0,700.0,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,formed z,0.3,0.9000000000000001,10.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,860.1174303111615
17.455208154577825,formed z,0.3,0.9000000000000001,10.0,20.0,280.0,749.9999999999999,AA2024-T3,AA2024-T3,860.1174303111615
17.455208154577825,formed z,0.3,0.8,10.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,j,0.3,0.9000000000000001,10.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,formed z,0.3,0.8,10.0,20.0,280.0,749.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,j,0.3,0.9000000000000001,10.0,20.0,280.0,749.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,formed z,0.3,0.9000000000000001,10.0,20.0,280.0,700.0,AA2024-T3,AA2024-T3,860.1174303111615
17.455208154577825,j,0.3,0.8,10.0,20.0,280.0,700.0,AA2024-T3,AA2024-T3,860.1174303111615
17.455208154577825,z,0.3,0.8,10.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,z,0.3,0.8,10.0,20.0,280.0,749.9999999999999,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,z,0.3,0.8,10.0,20.0,280.0,700.0,AA2024-T3,AA2024-T3,860.1174303111618
17.455208154577825,j,0.3,0.8,10.0,20.0,280.0,649.9999999999999,AA2024-T3,AA2024-T3,860.1174303111615
17.455208154577825,j,0.3,0.8,10.0,20.0,280.0,749.9999999999999,AA2024-T3,AA2024-T3,860.1174303111615
17.627863529577823,z,0.3,0.9000000000000001,10.0,20.0,260.0,749.9999999999999,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,z,0.3,0.8,10.0,20.0,260.0,749.9999999999999,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,z,0.3,0.8,10.0,20.0,260.0,700.0,AA2024-T3,AA2024-T3,942.0176017284231
17.627863529577823,formed z,0.3,0.9000000000000001,10.0,20.0,260.0,700.0,AA2024-T3,AA2024-T3,942.0176017284228
